dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
dna.50MB,1,52.4288,6.30762926604849,34.8577898604925,430.865432,150.014558,38.808924
dna.50MB,2,52.4288,11.4683925136785,44.3640012963419,347.204158,113.456046,32.620002
dna.50MB,3,52.4288,14.4348528040818,52.0347409071105,347.204158,109.617894,28.807688
dna.50MB,4,52.4288,15.2639326240474,52.2026061077352,347.204158,108.29799,27.414362
dna.50MB,5,52.4288,15.4166577226638,52.030248298037,347.204158,107.898838,26.938308
dna.50MB,6,52.4288,15.5160376998331,46.927154285837,347.204158,107.810774,26.773318
dna.50MB,7,52.4288,15.4536469879436,47.7738585449552,347.204158,107.830614,26.716232
dna.50MB,8,52.4288,14.9120713747948,46.7202823063933,347.204158,107.888182,26.696874
dna.50MB,9,52.4288,15.4680634562103,46.8074582959481,347.204158,107.958718,26.690484
dna.50MB,10,52.4288,15.4384344839446,51.9575965568261,347.204158,108.033526,26.688366
dna.50MB,11,52.4288,15.0509513492627,45.5086618602124,347.204158,108.109654,26.68756
dna.50MB,12,52.4288,15.0404506443617,51.905951352031,347.204158,108.186358,26.687338
dna.50MB,13,52.4288,15.5510285922423,52.3693084655831,347.204158,108.26327,26.687324
dna.50MB,14,52.4288,15.5163361786026,47.101227283222,347.204158,108.340246,26.68737
EDGAR,0,104.8576,4.49847639903952,28.5040986113244,885.2728,681.583722,19.015378
EDGAR,1,104.8576,6.55010183623808,34.4197952162414,645.063002,327.815562,21.860236
EDGAR,2,104.8576,10.2916572852684,50.8984367036319,571.05453,232.964098,23.712182
EDGAR,3,104.8576,13.6547076938864,58.1158741551362,573.642402,217.014906,26.232888
EDGAR,4,104.8576,17.1509250523732,66.0020985698379,573.642402,213.190018,25.717994
EDGAR,5,104.8576,19.0816330801492,61.3662406552749,573.642402,210.45909,22.911772
EDGAR,6,104.8576,19.4790507172824,67.4648625868985,573.642402,209.647938,22.023702
EDGAR,7,104.8576,19.6026438563392,61.5136962916119,573.642402,209.522538,21.821376
EDGAR,8,104.8576,19.6034867560329,63.3021845971623,573.642402,209.572714,21.794626
EDGAR,9,104.8576,19.3910558695625,67.8203153852672,573.642402,209.638698,21.783684
EDGAR,10,104.8576,19.5979359458407,62.5237987624942,573.642402,209.713122,21.781182
EDGAR,11,104.8576,18.9259195552397,63.1233087821426,573.642402,209.789362,21.780496
EDGAR,12,104.8576,19.2420626509915,60.2249152834415,573.642402,209.86617,21.780374
EDGAR,13,104.8576,19.3649853254153,61.5697895974855,573.642402,209.943106,21.780388
EDGAR,14,104.8576,19.259620893071,67.4655136915792,573.642402,210.020098,21.78045
einstein.de.txt,0,92.758441,5.12951643928156,27.5404833501382,684.342531,0.4324,0.501878
einstein.de.txt,1,92.758441,11.8080210857426,41.6871447645936,539.897075,0.363728,0.498252
einstein.de.txt,2,92.758441,16.939640831941,75.0787474038472,490.213547,0.228312,0.409926
einstein.de.txt,3,92.758441,19.7892737602748,79.9604509790062,472.545947,0.142736,0.358024
einstein.de.txt,4,92.758441,20.7789460219948,79.5876413999973,467.293859,0.097632,0.33049
einstein.de.txt,5,92.758441,21.0807308291325,91.3399318582415,465.537651,0.066552,0.312768
einstein.de.txt,6,92.758441,21.2915974131055,79.4885439795157,465.117251,0.043056,0.299014
einstein.de.txt,7,92.758441,21.2697104693402,91.2344605706282,465.117251,0.025768,0.2906
einstein.de.txt,8,92.758441,21.3181045137869,80.6036520776471,465.999179,0.015904,0.28493
einstein.de.txt,9,92.758441,21.3253924262318,80.0230177880804,465.999179,0.009864,0.27942
einstein.de.txt,10,92.758441,20.6931613930863,91.2911188467758,465.999179,0.00916,0.273406
einstein.de.txt,11,92.758441,21.1992013370622,79.886284148817,465.999179,0.009144,0.271664
einstein.de.txt,12,92.758441,20.951403266179,91.471347666978,465.999179,0.009144,0.271178
einstein.de.txt,13,92.758441,21.3566294730584,82.2957684749387,465.999179,0.009144,0.271076
einstein.de.txt,14,92.758441,21.5151556129035,91.376013294862,465.999179,0.009144,0.271094
einstein.en.txt,0,467.626544,4.20573257917568,24.5008429938771,3466.158158,0.873128,1.18315
einstein.en.txt,1,467.626544,9.02010275042158,47.5489572412107,2728.668302,0.765864,1.28948
einstein.en.txt,2,467.626544,14.8601977863947,71.5070999950761,2467.012166,0.46832,1.184038
einstein.en.txt,3,467.626544,18.4272459660079,86.322108650402,2380.19775,0.296488,1.067016
einstein.en.txt,4,467.626544,19.5269633641762,89.9420187721188,2353.023718,0.200472,1.014626
einstein.en.txt,5,467.626544,19.934881265447,89.213291415387,2343.865118,0.13884,0.985288
einstein.en.txt,6,467.626544,20.1075107695494,89.9775826920357,2341.060598,0.097304,0.969082
einstein.en.txt,7,467.626544,20.127619944616,89.0158546207666,2340.48519,0.062264,0.9637
einstein.en.txt,8,467.626544,17.0704899668013,88.5210877783661,2341.159926,0.038544,0.96541
einstein.en.txt,9,467.626544,19.6725805161723,83.7955254367522,2341.159926,0.013976,0.952888
einstein.en.txt,10,467.626544,19.6064560277437,90.6212599050817,2341.159926,0.00928,0.92891
einstein.en.txt,11,467.626544,18.6943214984127,89.8571080220587,2341.159926,0.009144,0.919976
einstein.en.txt,12,467.626544,19.1435101678159,91.3320071803664,2341.159926,0.009144,0.917498
einstein.en.txt,13,467.626544,20.2187882499189,91.0830622194841,2341.159926,0.009144,0.916812
einstein.en.txt,14,467.626544,20.2221868387675,81.5665298987331,2341.159926,0.009152,0.916638
einstein.en.txt,15,467.626544,20.3501747726641,89.1895037770831,2341.159926,0.009144,0.916624
english.001.2,0,104.8576,3.69195412675452,15.6105253018821,800.165608,622.767592,7.191282
english.001.2,1,104.8576,7.14583569721707,34.4111315305855,615.014,264.860792,7.557444
english.001.2,2,104.8576,11.8412250290786,53.5475693667801,556.528824,206.184544,6.709754
english.001.2,3,104.8576,14.5072452800221,61.0923345018787,538.783968,188.497384,6.234892
english.001.2,4,104.8576,16.3618092961421,66.8440119819646,532.956936,181.966376,5.684602
english.001.2,5,104.8576,17.4343805673536,62.8434338016233,532.956936,180.130128,5.2041
english.001.2,6,104.8576,17.6886244999973,62.9219847942057,532.956936,179.666952,4.824702
english.001.2,7,104.8576,17.8886232848809,62.1250254762277,532.956936,179.584664,4.667784
english.001.2,8,104.8576,17.3903698332702,68.6612902803352,532.956936,179.605704,4.611898
english.001.2,9,104.8576,17.8763269461707,63.3784394741996,532.956936,179.66348,4.592748
english.001.2,10,104.8576,17.8378882287657,63.5018761521561,532.956936,179.734184,4.586526
